CIUDAD DE PROCEDENCIA,CIUDAD DE DESTINO,MOTIVO DEL VIAJE,TIEMPO DE PERMANENCIA (DIAS),TIPO ALOJAMIENTO,RESULTADO SATISFACCIÓN,CANTIDAD DE VIAJEROS
ACACIAS,Tunja,Turismo,3,Hotel,10,18
Acacías,Aquitania,Turismo,2,Hotel,10,2
Acacías,Aquitania,Turismo,4,Hotel,10,2
Acacías,Paipa,Turismo,3,Hotel,10,5
Acacías,Villa de Leyva,Turismo,1,Hotel,10,5
Agapel,Güicán,Turismo,2,Vivienda familiar,10,2
Aguadas,Villa de Leyva,Turismo,3,Hotel,0,2
Aguazul,Paipa,Turismo,1,Vivienda familiar,10,1
Aguazul,Duitama,Turismo,3,Hotel,10,2
Aguazul,Paipa,Turismo,1,Hotel,9,4
Aguazul,Boyacá,Turismo,5,Hotel,10,4
Alejandría Antioquia,Tunja,Turismo,1,Hotel,0,4
Algecias,Monguí,Turismo,5,Vivienda familiar,10,4
Alpujarra,Aquitania,Turismo,2,Vivienda familiar,8,4
Amagá,Villa de Leyva,Turismo,2,Cabaña rural,10,4
Amazonas,Belén,Turismo,3,Hotel,8,1
Anapoima,Paipa,Turismo,2,Hotel,9,160
Andes,Aquitania,Turismo,5,Hotel,10,87
Andes,Aquitania,Turismo,5,Hotel,10,87
Anserma,Tunja,Turismo,5,Hotel,10,2
Antioquia,Boyacá,Turismo,5,Vivienda familiar,10,1
Antioquía,Paipa,Turismo,2,Hotel,10,1
Antioquía,Ráquira,Turismo,2,Hotel,10,2
Antioquía,Aquitania,Turismo,2,Cabaña rural,10,2
Antioquía,Villa de Leyva,Turismo,2,Hotel,9,2
Antioquía,Aquitania,Turismo,2,Hotel,10,2
Antioquía,Ráquira,Turismo,2,Hotel,9,4
Antioquía,Villa de Leyva,Turismo,2,Hotel,9,4
Antioquía,Paipa,Turismo,4,Cabaña rural,10,4
Antioquía,Paipa,Turismo,2,Hotel,10,4
Antioquía,Villa de Leyva,Turismo,4,Vivienda familiar,10,4
Antioquía,Aquitania,Turismo,3,Vivienda familiar,10,4
Antioquía,Villa de Leyva,Turismo,3,Hotel,9,4
Antioquía,Duitama,Turismo,2,Cabaña rural,10,4
Antioquía,Aquitania,Turismo,3,Hotel,9,4
Antioquía,Aquitania,Turismo,2,Hotel,10,4
Antioquía,Ventaquemada,Turismo,5,Hotel,9,4
Antioquía,Villa de Leyva,Turismo,3,Hotel,9,4
Antioquía,Chiquinquirá,Turismo,3,Cabaña rural,9,4
Antioquía,Duitama,Turismo,2,Hotel,10,4
Antioquía,Tunja,Turismo,5,Hotel,10,4
Antioquía,Aquitania,Turismo,5,Vivienda familiar,10,4
Antioquía,Aquitania,Turismo,2,Cabaña rural,10,4
Antioquía,Aquitania,Turismo,2,Hotel,9,4
Antioquía,Aquitania,Turismo,1,Hotel,9,4
Antioquía,Chiquinquirá,Turismo,2,Cabaña rural,9,4
Antioquía,Aquitania,Turismo,2,Hotel,10,45
Apolo,Duitama,Turismo,2,Hotel,9,8
Apulo,Paipa,Laboral,5,Cabaña rural,10,1
Arauca,Boyacá,Turismo,2,Vivienda familiar,10,2
Arauca,Aquitania,Turismo,3,Hotel,10,3
Arauca,Duitama,Turismo,2,Hotel,10,3
Arauca,Duitama,Turismo,1,Hotel,10,4
Arauca,Duitama,Turismo,1,Hotel,10,4
Arauca,Paipa,Turismo,1,Hotel,10,4
ARAUCA,Tunja,Turismo,1,Hotel,10,4
Arauca,Duitama,Turismo,2,Camping,10,4
Arbeláez,Aquitania,Turismo,1,Hotel,10,3
Armenia,Aquitania,Turismo,1,Hotel,10,1
Armenia,Aquitania,Turismo,2,Hotel,9,2
Armenia,Paipa,Turismo,7,Cabaña rural,0,2
Armenia,Aquitania,Turismo,5,Vivienda familiar,9,2
Armenia,Villa de Leyva,Turismo,2,Hotel,10,4
Armenia,Villa de Leyva,Turismo,5,Vivienda familiar,10,4
Armenia,Duitama,Turismo,4,Resort,10,4
Armenia,Aquitania,Turismo,4,Vivienda familiar,10,5
Armenia,Duitama,Turismo,4,Hotel,10,5
Armenia,Paipa,Turismo,1,Hotel,10,6
Armenia,Aquitania,Turismo,2,Hotel,10,7
ARMENIA,Duitama,Turismo,2,Hotel,10,8
Armenia,Almeida,Turismo,2,Hotel,10,10
Armenia,Aquitania,Turismo,1,Hotel,9,40
Armenia,Duitama,Turismo,1,Vivienda familiar,10,40
Atlántico,Duitama,Turismo,2,Hotel,10,1
Atlántico,Paipa,Turismo,4,Hotel,8,2
Atlántico,Tunja,Turismo,2,Hotel,9,4
Atlántico,Ventaquemada,Turismo,1,Hotel,9,4
Atlántico,Villa de Leyva,Turismo,1,Hotel,9,4
Barbosa,Ventaquemada,Turismo,7,Hotel,0,2
Barbosa,Duitama,Turismo,2,Hotel,10,2
Barbosa,Aquitania,Turismo,1,Camping,10,2
Barbosa,Duitama,Turismo,2,Vivienda familiar,10,4
Barbosa,Duitama,Turismo,2,Hotel,10,5
Barichara,Iza,Turismo,3,Hotel,9,2
Barranbermeja,Duitama,Turismo,2,Vivienda familiar,10,3
Barrancabermeja,Tunja,Turismo,3,Hotel,0,2
Barrancabermeja,Duitama,Turismo,1,Hotel,8,3
Barrancabermeja,Villa de Leyva,Turismo,15,Hotel,0,3
Barrancabermeja,Paipa,Turismo,2,Hotel,10,4
Barrancabermeja,Tunja,Turismo,4,Hotel,10,5
Barrancabermeja,Paipa,Turismo,4,Hotel,10,6
Barrancabermeja,Paipa,Turismo,1,Hotel,10,6
Barrancabermeja,Duitama,Turismo,2,Hotel,9,8
Barrancabermeja,Monguí,Turismo,3,Hotel,10,10
Barranquilla,Aquitania,Turismo,1,Hotel,9,2
Barranquilla,Duitama,Turismo,2,Hotel,9,2
Barranquilla,Ráquira,Turismo,3,Hotel,10,2
Barranquilla,Villa de Leyva,Turismo,5,Hotel,10,2
Barranquilla,Paipa,Turismo,2,Hotel,10,2
Barranquilla,Tunja,Turismo,1,Hotel,10,2
Barranquilla,Paipa,Turismo,1,Hotel,10,2
Barranquilla,Monguí,Turismo,3,Hotel,0,2
Barranquilla,Paipa,Turismo,5,Hotel,10,2
Barranquilla,Chiquinquirá,Turismo,2,Hotel,9,3
Barranquilla,Aquitania,Turismo,1,Hotel,10,3
Barranquilla,Monguí,Turismo,3,Hotel,10,3
Barranquilla,Villa de Leyva,Turismo,4,Vivienda familiar,10,4
Barranquilla,Duitama,Turismo,3,Hotel,10,4
Barranquilla,Villa de Leyva,Turismo,2,Vivienda familiar,10,4
Barranquilla,Villa de Leyva,Turismo,2,Hotel,9,4
Barranquilla,Duitama,Turismo,2,Hotel,9,4
Barranquilla,Monguí,Turismo,2,Hotel,9,4
Barranquilla,Sutamarchán,Turismo,3,Hotel,10,5
Barranquilla,Ventaquemada,Turismo,2,Hotel,10,5
Barranquilla,Aquitania,Turismo,2,Hotel,10,5
Barranquilla,Villa de Leyva,Turismo,5,Vivienda familiar,10,5
BARRANQUILLA,Tunja,Turismo,2,Hotel,10,5
Barranquilla,Aquitania,Turismo,1,Hotel,10,6
Barranquilla,Aquitania,Turismo,4,Vivienda familiar,9,8
Barranquilla,Paipa,Turismo,2,Cabaña rural,10,12
Barranquilla,Villa de Leyva,Turismo,3,Hotel,10,20
Barranquilla,Ráquira,Turismo,1,Hotel,8,30
Barranquilla,Villa de Leyva,Turismo,4,Cabaña rural,10,39
Barranquilla,Paipa,Turismo,4,Hotel,10,48
Barranquilla,Aquitania,Turismo,2,Hotel,9,65
Belén,Belén,Turismo,1,Hotel,0,2
Belén,Belén,Turismo,3,Hotel,0,4
Bello,Chiquinquirá,Turismo,1,Hotel,9,3
Bello,Nobsa,Turismo,3,Hotel,10,3
Bello,Belén,Turismo,2,Hotel,10,4
BELLO,Chiquinquirá,Turismo,3,Hotel,10,39
Boavita,Boavita,Turismo,3,Camping,0,3
Boavita,Boavita,Turismo,7,Hotel,0,40
Bogota,Paipa,Turismo,1,Hotel,10,2
Bogota,Paipa,Turismo,4,Vivienda familiar,9,2
Bogota,Paipa,Turismo,2,Hotel,10,2
Bogota,Paipa,Turismo,3,Hotel,10,2
BOGOTA,Tunja,Turismo,1,Otro,10,2
BOGOTA,Tunja,Turismo,1,Otro,10,2
BOGOTA,Tunja,Turismo,1,Otro,10,2
BOGOTA,Tunja,Turismo,1,Hotel,10,2
BOGOTA,Paipa,Turismo,1,Otro,10,2
BOGOTA,Tunja,Turismo,2,Hotel,10,2
BOGOTA,Tunja,Turismo,1,Otro,10,2
BOGOTA,Tunja,Turismo,1,Otro,10,3
BOGOTA,Tunja,Turismo,1,Otro,10,4
BOGOTA,Sáchica,Turismo,2,Hotel,10,4
Bogota,Paipa,Turismo,2,Vivienda familiar,8,5
BOGOTA,Tunja,Turismo,2,Vivienda familiar,10,5
BOGOTA,Tunja,Turismo,2,Hotel,10,5
BOGOTA,Chiquinquirá,Turismo,2,Hotel,10,8
Bogota,Paipa,Turismo,3,Hotel,10,10
BOGOTA,Tunja,Turismo,2,Hotel,10,12
BOGOTA,Villa de Leyva,Turismo,1,Otro,10,12
BOGOTA,Nobsa,Turismo,2,Hotel,10,18
BOGOTA,Paipa,Turismo,2,Hotel,10,25
BOGOTA,Tunja,Turismo,1,Otro,10,32
BOGOTA,Tunja,Turismo,1,Otro,10,40
BOGOTA,Tunja,Turismo,1,Otro,10,45
BOGOTA,Ráquira,Turismo,3,Hotel,10,45
Bogotá,Villa de Leyva,Turismo,1,Vivienda familiar,9,1
Bogotá,Aquitania,Turismo,5,Cabaña rural,10,1
Bogotá,Aquitania,Turismo,2,Hotel,10,1
Bogotá,Paipa,Turismo,3,Hotel,10,1
Bogotá,Aquitania,Turismo,2,Cabaña rural,8,1
Bogotá,Aquitania,Turismo,7,Hotel,0,1
Bogotá,Tunja,Turismo,1,Cabaña rural,9,1
Bogotá,Aquitania,Turismo,1,Hotel,10,1
Bogotá,Paipa,Turismo,4,Hotel,8,1
Bogotá,Paipa,Turismo,2,Hotel,10,1
Bogotá,Paipa,Turismo,1,Hotel,10,1
Bogotá,Aquitania,Turismo,4,Hotel,10,1
Bogotá,Villa de Leyva,Turismo,7,Hotel,0,1
Bogotá,Duitama,Turismo,1,Hotel,10,1
Bogotá,Tunja,Turismo,3,Hotel,0,1
Bogotá,Paipa,Turismo,3,Vivienda familiar,10,1
Bogotá,Duitama,Turismo,1,Hotel,10,1
Bogotá,Paipa,Turismo,3,Vivienda familiar,10,1
Bogotá,Paipa,Turismo,1,Hotel,10,1
Bogotá,Paipa,Turismo,1,Vivienda familiar,10,1
Bogotá,Paipa,Turismo,1,Vivienda familiar,10,1
Bogotá,Villa de Leyva,Turismo,1,Hotel,9,2
Bogotá,Cómbita,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,3,Hotel,9,2
Bogotá,Villa de Leyva,Turismo,1,Hotel,9,2
Bogotá,Villa de Leyva,Turismo,1,Hotel,10,2
Bogotá,Villa de Leyva,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,3,Hotel,10,2
Bogotá,Aquitania,Turismo,1,Hotel,10,2
Bogotá,Aquitania,Turismo,1,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,3,Hotel,9,2
Bogotá,Villa de Leyva,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Paipa,Turismo,1,Hotel,9,2
Bogotá,Paipa,Turismo,2,Hotel,9,2
Bogotá,Paipa,Turismo,2,Hotel,10,2
Bogotá,Duitama,Turismo,1,Hotel,10,2
Bogotá,Duitama,Turismo,5,Vivienda familiar,10,2
Bogotá,Tibasosa,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Firavitoba,Turismo,2,Hotel,10,2
Bogotá,Paipa,Turismo,2,Hotel,10,2
Bogotá,Paipa,Turismo,4,Vivienda familiar,10,2
Bogotá,Aquitania,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,2,Hotel,9,2
Bogotá,Aquitania,Turismo,1,Hotel,9,2
Bogotá,Duitama,Turismo,3,Hotel,9,2
Bogotá,Paipa,Turismo,2,Cabaña rural,10,2
Bogotá,Aquitania,Turismo,1,Hotel,10,2
Bogotá,Boavita,Turismo,3,Cabaña rural,10,2
Bogotá,Firavitoba,Turismo,3,Hotel,9,2
Bogotá,Villa de Leyva,Turismo,3,Camping,10,2
Bogotá,Villa de Leyva,Turismo,2,Hotel,10,2
Bogotá,Aquitania,Turismo,1,Hotel,10,2
Bogotá,Aquitania,Turismo,5,Vivienda familiar,10,2
Bogotá,Aquitania,Turismo,1,Hotel,10,2
Bogotá,Aquitania,Turismo,1,Cabaña rural,10,2
Bogotá,Aquitania,Turismo,2,Vivienda familiar,10,2
Bogotá,Aquitania,Turismo,1,Hotel,0,2
Bogotá,Paipa,Turismo,5,Hotel,10,2
Bogotá,Paipa,Turismo,1,Hotel,10,2
Bogotá,Duitama,Turismo,3,Hotel,10,2
Bogotá,Paipa,Turismo,3,Hotel,9,2
Bogotá,Aquitania,Turismo,2,Vivienda familiar,8,2
Bogotá,Duitama,Turismo,2,Hotel,10,2
Bogotá,Duitama,Turismo,1,Vivienda familiar,9,2
Bogotá,Tibasosa,Turismo,5,Hotel,10,2
